NAME									DONE	TEST	RETEST	P2PTEST
void *ft_memalloc(size_t size);						X
void ft_memdel(void **ap);						X
char *ft_strnew(size_t size);						X
void ft_strdel(char **as);						X
void ft_strclr(char *s);						X
void ft_striter(char *s, void (*f)(char *));				X
void ft_striteri(char *s, void (*f)(unsigned int, char *));		X
char *ft_strmap(const char *s, char (*f)(char));			X
char *ft_strmapi(har const *s, char (*f)(unsigned int, char));		X
int ft_streq(const char *s1, const char *s2);				X
int ft_strneq(const char *s1, const char *s2, size_t n);		X
char *ft_strsub(const char *s, unsigned int i, size_t len);
char *ft_strjoin(const char *s1, const char *s2);
char *ft_strtrim(const char *s);
char **ft_strsplit(const char *s, char c);
char *ft_itoa(int n);
void ft_putchar(char c);						X	X	X
void ft_putstr(const char *s);						X	X	X	X
void ft_putendl(const char *s);						X
void ft_putnbr(int n);							X	X
void ft_putchar_fd(char c; int fd);					X
void ft_putstr_fd(const char *s, int fd);				X
void ft_putendl_fd(const char *s, int fd);				X
void ft_putnbr_fd(int n, int fd);					X
